
    Afghanistan  Afghanistan (41)
    Greece  Greece (701)
    Grenada  Grenada (2)
    Guatemala  Guatemala (84)
    Guernsey  Guernsey (5)
    Guinea  Guinea (3)
    Guinea Bissau  Guinea Bissau (1)
    Guyana  Guyana (3)
    Haiti  Haiti (12)
    Honduras  Honduras (34)
    Hong Kong  Hong Kong (289)
    Hungary  Hungary (1022)
    Iceland  Iceland (248)
    India  India (7747)
    Indonesia  Indonesia (683)
    Iran  Iran (946)
    Iraq  Iraq (19)
    Ireland  Ireland (829)
    Isle of Man  Isle of Man (14)
    Israel  Israel (1363)
    Italy  Italy (1559)
    Jamaica  Jamaica (36)
    Japan  Japan (2562)
    Jersey  Jersey (12)
    Jordan  Jordan (108)
    Kazakhstan  Kazakhstan (108)
    Kenya  Kenya (118)
    Kiribati  Kiribati (2)
    Kuwait  Kuwait (19)
    Kyrgyzstan  Kyrgyzstan (26)
    Laos  Laos (9)
    Latvia  Latvia (289)
    Lebanon  Lebanon (143)
    Lesotho  Lesotho (2)
    Liberia  Liberia (1)
    Libya  Libya (10)
    Liechtenstein  Liechtenstein (9)
    Lithuania  Lithuania (491)
    Luxembourg  Luxembourg (81)
    Macao  Macao (6)
    Madagascar  Madagascar (7)
    Malawi  Malawi (1)
    Malaysia  Malaysia (288)
    Maldives  Maldives (13)
    Mali  Mali (5)
    Malta  Malta (40)
    Marshall Islands  Marshall Islands (4)
    Mauritania  Mauritania (4)
    Mauritius  Mauritius (22)
    Mexico  Mexico (1397)
    Micronesia  Micronesia (5)
    Moldova  Moldova (130)
    Monaco  Monaco (4)
    Mongolia  Mongolia (31)
    Montenegro  Montenegro (9)
    Morocco  Morocco (139)
    Mozambique  Mozambique (9)
    Myanmar  Myanmar (24)
    Namibia  Namibia (9)
    Nauru  Nauru (9)
    Nepal  Nepal (185)
    Netherlands  Netherlands (2648)
    Netherlands Antilles  Netherlands Antilles (6)
    New Guinea  New Guinea (7)
    New Zealand  New Zealand (706)
    Nicaragua  Nicaragua (11)
    Niger  Niger (3)
    Nigeria  Nigeria (112)
    Northern Ireland  Northern Ireland (135)
    Norway  Norway (1375)
    Oman  Oman (9)
    Pakistan  Pakistan (355)
    Palau  Palau (221)
    Palestine  Palestine (53)
    Panama  Panama (34)
    Paraguay  Paraguay (28)
    Peru  Peru (175)
    Philippines  Philippines (960)
    Poland  Poland (2255)
    Portugal  Portugal (989)
    Puerto Rico  Puerto Rico (81)
    Qatar  Qatar (7)
    Romania  Romania (1122)
    Russia  Russia (3115)
    Rwanda  Rwanda (7)
    Saint Lucia  Saint Lucia (5)
    Samoa  Samoa (2)
    San Marino  San Marino (4)
    Sao Tome  Sao Tome (2)
    Saudi Arabia  Saudi Arabia (85)
    Scotland  Scotland (607)
    Senegal  Senegal (4)
    Serbia  Serbia (314)
    Seychelles  Seychelles (9)
    Sierra Leone  Sierra Leone (3)
    Singapore  Singapore (395)
    Slovakia  Slovakia (402)
    Slovenia  Slovenia (455)
    Solomon Islands  Solomon Islands (2)
    Somalia  Somalia (10)
    South Africa  South Africa (938)
    South Korea  South Korea (1184)
    South Sudan  South Sudan (1)
    Spain  Spain (1187)
    Sri Lanka  Sri Lanka (870)
    St Vincent Grenadines  St Vincent Grenadines (6)
    Sudan  Sudan (17)
    Suriname  Suriname (3)
    Swaziland  Swaziland (7)
    Sweden  Sweden (3231)
    Switzerland  Switzerland (852)
    Syria  Syria (51)
    Taiwan  Taiwan (323)
    Tajikistan  Tajikistan (17)
    Tanzania  Tanzania (24)
    Thailand  Thailand (345)
    Togo  Togo (8)
    Tonga  Tonga (1)
    Trinidad Tobago  Trinidad Tobago (45)
    Tunisia  Tunisia (91)
    Turkey  Turkey (1151)
    Turkmenistan  Turkmenistan (31)
    Tuvalu  Tuvalu (2)
    Uganda  Uganda (33)
    Ukraine  Ukraine (1331)
    United Arab Emirates  United Arab Emirates (56)
    Uruguay  Uruguay (63)
    USA  USA (28637)
    Uzbekistan  Uzbekistan (57)
    Vanuatu  Vanuatu (8)
    Venezuela  Venezuela (166)
    Vietnam  Vietnam (523)
    Virgin Islands  Virgin Islands (3)
    Wales  Wales (243)
    Yemen  Yemen (17)
    Yugoslavia  Yugoslavia (14)
    Zambia  Zambia (5)
    Zimbabwe  Zimbabwe (29)
